Name=traffic_small.txt
StartTime=11:02:18
EndTime=11:49:14
*******************

TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 66.92, Y: 41.06, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:22
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 114.75, Y: -309.77, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:22
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 67.88, Y: 41.63, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:30
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 115.45, Y: -310.22, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:30
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 68.83, Y: 42.17, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:38
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 116.14, Y: -310.69, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:38
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 69.78, Y: 42.73, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:46
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 116.84, Y: -311.14, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:46
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 70.73, Y: 43.30, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:07:54
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 117.53, Y: -311.59, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:54
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 71.69, Y: 43.84, Vx: 471, Vy: 156, Afl: 240, Rate: 0, Heading: 72, GroundSpeed: 496, Tendency: 0, Time: 11:08:02
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 118.23, Y: -312.05, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:02
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 72.73, Y: 44.19, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:10
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 118.92, Y: -312.50, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:10
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 73.78, Y: 44.52, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:18
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 119.63, Y: -312.95, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:18
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 74.83, Y: 44.84, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:26
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 120.31, Y: -313.41, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:26
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 75.89, Y: 45.16, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:34
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 121.02, Y: -313.86, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:34
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 76.94, Y: 45.48, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:42
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 121.70, Y: -314.31, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:42
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 78.00, Y: 45.80, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:50
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 122.41, Y: -314.77, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:50
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 79.05, Y: 46.13, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:08:58
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 123.09, Y: -315.22, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:08:58
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 80.11, Y: 46.45, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:06
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 123.80, Y: -315.67, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:06
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 81.16, Y: 46.77, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:14
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 124.48, Y: -316.13, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:14
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 82.20, Y: 47.09, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:22
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 125.19, Y: -316.58, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:22
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 83.27, Y: 47.42, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:30
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 125.88, Y: -317.03, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:30
